Disease,Symptoms
Tinea,"Burning sensation;Red, ring-shaped rash;Blisters;Peeling skin"
Infestations/Bites,Wheals;Lice;Swollen red spots;Itchy rash
Tinea,"Blisters;Burning sensation;Red, ring-shaped rash;Itchy rash;Peeling skin"
Vascular Tumors,Painful nodules;Swelling;Red or purple spots;Visible blood vessels
Vitiligo,Irregular skin color;White patches;Loss of pigmentation;Lightened skin
Vasculitis,Fever;Red or purple patches;Swollen blood vessels
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Actinic Keratosis,"Dry, scaly patches;Red or brown spots"
Vitiligo,White patches;Loss of pigmentation
Sun/Sunlight Damage,Freckles;Wrinkles;Rough patches;Sunburn;Dark spots
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Psoriasis,Dry cracked skin;Red skin;Scaly skin;Itchy patches
Vitiligo,Irregular skin color;Lightened skin;Loss of pigmentation
Actinic Keratosis,"Dry, scaly patches;Crusting;Sun damage"
Lichen Planus,Inflammation;Itchy lesions;Purple flat-topped bumps;White lines
Moles,Multicolored moles;Raised moles;Dark spots
Vasculitis,Skin sores;Rash
Actinic Keratosis,Crusting;Itchy spots
Lichen Planus,Inflammation;Itchy lesions;Purple flat-topped bumps
Moles,Itchy moles;Raised moles;Multicolored moles;Irregular border;Dark spots
Candidiasis,White patches;Flaky skin;Itchy rash;Swollen skin
Unknown/Normal Variants,No symptoms;Normal pigmentation
Lichen Planus,Inflammation;Itchy lesions
Eczema,Itchy skin;Swollen skin;Redness;Blisters;Dry patches
Rosacea,Pimple-like bumps;Visible blood vessels;Redness;Burning sensation
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Candidiasis,"Swollen skin;Red, sore skin;Flaky skin;White patches;Itchy rash"
Candidiasis,White patches;Swollen skin;Itchy rash;Flaky skin
Vascular Tumors,Visible blood vessels;Painful nodules;Red or purple spots
Vascular Tumors,Visible blood vessels;Painful nodules;Red or purple spots;Swelling
Vitiligo,Irregular skin color;Loss of pigmentation;White patches;Lightened skin
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Actinic Keratosis,"Dry, scaly patches;Sun damage;Itchy spots"
Eczema,Blisters;Redness;Cracked skin;Dry patches;Itchy skin
Vitiligo,Loss of pigmentation;Irregular skin color
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Lichen Planus,Itchy lesions;Inflammation
Infestations/Bites,Itchy rash;Lice;Wheals;Visible bites
Infestations/Bites,Visible bites;Wheals;Itchy rash;Swollen red spots;Lice
Acne,Blackheads;Pimples;Oily skin;Whiteheads;Cystic acne
Sun/Sunlight Damage,Sunburn;Rough patches
Vascular Tumors,Swelling;Painful nodules;Visible blood vessels
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Vasculitis,Red or purple patches;Swollen blood vessels;Fever;Skin sores;Rash
Skin Cancer,Bleeding lesions;Changes in existing moles;New growths;Irregular borders
Unknown/Normal Variants,Normal pigmentation;No symptoms
Lichen Planus,White lines;Inflammation;Purple flat-topped bumps;Itchy lesions
Infestations/Bites,Wheals;Visible bites;Itchy rash;Swollen red spots
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Bullous Disorders,Painful blisters;Itchy blisters
Tinea,"Red, ring-shaped rash;Peeling skin;Itchy rash;Blisters"
Eczema,Cracked skin;Blisters;Dry patches;Swollen skin
Unknown/Normal Variants,No symptoms;Minor blemishes
Actinic Keratosis,Sun damage;Itchy spots
Eczema,Itchy skin;Cracked skin
Skin Cancer,Irregular borders;Asymmetrical growth;Changes in existing moles
Vitiligo,White patches;Loss of pigmentation;Lightened skin;Irregular skin color
Lupus,Mouth sores;Sensitivity to sunlight
Acne,Whiteheads;Pimples;Inflamed skin;Cystic acne
Vitiligo,Lightened skin;White patches
Skin Cancer,New growths;Bleeding lesions;Irregular borders
Eczema,Redness;Dry patches;Cracked skin;Itchy skin
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Candidiasis,"Red, sore skin;Itchy rash;Swollen skin;White patches"
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Lupus,Red patches;Mouth sores;Scaly skin
Tinea,"Itchy rash;Burning sensation;Red, ring-shaped rash"
Actinic Keratosis,"Itchy spots;Crusting;Sun damage;Dry, scaly patches;Red or brown spots"
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Scaly skin;Red patches;Mouth sores
Vitiligo,Irregular skin color;Lightened skin;Loss of pigmentation
Lichen Planus,Itchy lesions;Inflammation
Benign Tumors,Soft lumps;Flesh-colored bumps
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Actinic Keratosis,"Sun damage;Red or brown spots;Dry, scaly patches;Itchy spots"
Lichen Planus,Inflammation;Itchy lesions;White lines
Eczema,Dry patches;Swollen skin;Itchy skin;Blisters;Cracked skin
Tinea,"Blisters;Red, ring-shaped rash;Peeling skin;Burning sensation;Itchy rash"
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Tinea,"Burning sensation;Red, ring-shaped rash"
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Sun/Sunlight Damage,Dark spots;Sunburn;Wrinkles;Rough patches
Lupus,Scaly skin;Butterfly-shaped rash;Sensitivity to sunlight;Mouth sores;Red patches
Skin Cancer,Asymmetrical growth;Irregular borders;New growths;Bleeding lesions;Changes in existing moles
Lichen Planus,Itchy lesions;Purple flat-topped bumps;White lines
Vitiligo,Loss of pigmentation;White patches
Moles,Itchy moles;Irregular border
Acne,Oily skin;Pimples
Vasculitis,Skin sores;Rash;Swollen blood vessels
Eczema,Redness;Dry patches;Swollen skin;Itchy skin;Cracked skin
Candidiasis,"Swollen skin;White patches;Flaky skin;Itchy rash;Red, sore skin"
Skin Cancer,Bleeding lesions;Changes in existing moles;Asymmetrical growth;Irregular borders
Drug Eruption,Swelling;Itching;Rash
Tinea,"Itchy rash;Red, ring-shaped rash;Blisters"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Sun/Sunlight Damage,Dark spots;Rough patches;Wrinkles;Sunburn;Freckles
Actinic Keratosis,Red or brown spots;Crusting;Itchy spots
Lichen Planus,Itchy lesions;Purple flat-topped bumps
Candidiasis,"Swollen skin;Red, sore skin"
Psoriasis,Scaly skin;Itchy patches
Tinea,"Peeling skin;Itchy rash;Burning sensation;Red, ring-shaped rash"
Acne,Pimples;Whiteheads;Cystic acne;Inflamed skin;Oily skin
Vitiligo,Lightened skin;Loss of pigmentation;Irregular skin color;White patches
Lupus,Butterfly-shaped rash;Mouth sores
Skin Cancer,Bleeding lesions;Asymmetrical growth;New growths
Vitiligo,Irregular skin color;Loss of pigmentation;Lightened skin;White patches
Vasculitis,Swollen blood vessels;Red or purple patches;Fever
Warts,Rough texture;Itchy warts;Hard lumps
Warts,Bumps on skin;Rough texture
Sun/Sunlight Damage,Dark spots;Wrinkles;Freckles;Rough patches;Sunburn
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Eczema,Blisters;Itchy skin;Dry patches;Swollen skin;Cracked skin
Drug Eruption,Fever;Swelling;Hives;Itching;Red spots
Lichen Planus,White lines;Purple flat-topped bumps;Itchy lesions
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Vitiligo,White patches;Lightened skin;Irregular skin color;Loss of pigmentation
Sun/Sunlight Damage,Freckles;Sunburn;Rough patches;Dark spots
Actinic Keratosis,Crusting;Itchy spots;Sun damage
Candidiasis,"Red, sore skin;Itchy rash;Swollen skin"
Actinic Keratosis,Red or brown spots;Crusting
Vasculitis,Red or purple patches;Rash;Skin sores;Fever
Vascular Tumors,Red or purple spots;Visible blood vessels;Painful nodules;Swelling
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Mouth sores
Acne,Whiteheads;Inflamed skin;Oily skin;Blackheads;Pimples
Vitiligo,Loss of pigmentation;Lightened skin
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Drug Eruption,Itching;Rash;Fever;Red spots;Hives
Psoriasis,Itchy patches;Scaly skin
Rosacea,Redness;Burning sensation;Pimple-like bumps;Visible blood vessels;Eye irritation
Rosacea,Eye irritation;Pimple-like bumps
Eczema,Blisters;Swollen skin;Redness
Moles,Dark spots;Multicolored moles;Itchy moles;Raised moles;Irregular border
Vitiligo,White patches;Irregular skin color
Candidiasis,"Swollen skin;Red, sore skin"
Skin Cancer,New growths;Asymmetrical growth;Irregular borders
Vascular Tumors,Red or purple spots;Painful nodules;Swelling
Moles,Dark spots;Multicolored moles;Irregular border;Raised moles
Psoriasis,Red skin;Dry cracked skin;Scaly skin
Psoriasis,Dry cracked skin;Scaly skin;Itchy patches;Red skin;Thickened nails
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Lupus,Red patches;Mouth sores;Scaly skin;Butterfly-shaped rash
Vasculitis,Red or purple patches;Skin sores;Fever;Rash;Swollen blood vessels
Vitiligo,Lightened skin;Irregular skin color;Loss of pigmentation;White patches
Sun/Sunlight Damage,Rough patches;Dark spots;Freckles;Sunburn
Skin Cancer,Bleeding lesions;Irregular borders;Changes in existing moles
Candidiasis,"Red, sore skin;White patches"
Moles,Itchy moles;Irregular border
Actinic Keratosis,"Sun damage;Red or brown spots;Itchy spots;Dry, scaly patches"
Vasculitis,Skin sores;Fever
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Rosacea,Pimple-like bumps;Visible blood vessels;Redness;Burning sensation
Warts,Rough texture;Raised growths;Itchy warts
Drug Eruption,Red spots;Hives;Fever
Infestations/Bites,Wheals;Visible bites;Itchy rash
Drug Eruption,Hives;Rash;Red spots;Itching;Swelling
Warts,Bumps on skin;Itchy warts;Raised growths
Vitiligo,Irregular skin color;White patches
Rosacea,Redness;Visible blood vessels;Eye irritation
Warts,Rough texture;Hard lumps
Psoriasis,Dry cracked skin;Scaly skin
Infestations/Bites,Lice;Wheals;Itchy rash;Visible bites
Rosacea,Eye irritation;Visible blood vessels;Burning sensation;Pimple-like bumps
Psoriasis,Itchy patches;Dry cracked skin;Thickened nails;Scaly skin;Red skin
Lupus,Sensitivity to sunlight;Butterfly-shaped rash;Red patches
Tinea,"Red, ring-shaped rash;Blisters;Burning sensation;Peeling skin;Itchy rash"
Vasculitis,Skin sores;Fever;Swollen blood vessels
Unknown/Normal Variants,No symptoms;Normal pigmentation
Infestations/Bites,Wheals;Swollen red spots;Visible bites;Itchy rash;Lice
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Tinea,Burning sensation;Blisters
Candidiasis,"Flaky skin;Red, sore skin"
Candidiasis,"Swollen skin;Itchy rash;Red, sore skin;Flaky skin"
Vasculitis,Fever;Rash;Red or purple patches;Swollen blood vessels;Skin sores
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Vitiligo,Lightened skin;Irregular skin color;Loss of pigmentation
Infestations/Bites,Swollen red spots;Itchy rash
Infestations/Bites,Visible bites;Itchy rash;Wheals;Lice
Warts,Raised growths;Rough texture;Bumps on skin;Hard lumps;Itchy warts
Tinea,Itchy rash;Burning sensation
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Scaly skin;Mouth sores;Red patches
Vasculitis,Rash;Red or purple patches;Fever
Acne,Blackheads;Oily skin;Pimples;Whiteheads;Inflamed skin
Sun/Sunlight Damage,Freckles;Wrinkles
Lichen Planus,Purple flat-topped bumps;White lines;Inflammation
Acne,Inflamed skin;Blackheads;Whiteheads;Cystic acne;Oily skin
Lupus,Red patches;Sensitivity to sunlight;Butterfly-shaped rash;Scaly skin
Rosacea,Pimple-like bumps;Visible blood vessels;Redness;Eye irritation;Burning sensation
Rosacea,Eye irritation;Redness;Pimple-like bumps
Actinic Keratosis,"Dry, scaly patches;Crusting;Itchy spots;Sun damage"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Sun/Sunlight Damage,Rough patches;Sunburn
Vasculitis,Rash;Red or purple patches;Skin sores
Eczema,Swollen skin;Redness;Itchy skin;Dry patches;Cracked skin
Moles,Multicolored moles;Irregular border;Itchy moles;Dark spots;Raised moles
Actinic Keratosis,Red or brown spots;Crusting;Itchy spots
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Benign Tumors,Non-cancerous growths;Soft lumps
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Acne,Pimples;Inflamed skin;Blackheads;Oily skin
Rosacea,Pimple-like bumps;Burning sensation;Visible blood vessels;Eye irritation
Lupus,Butterfly-shaped rash;Scaly skin;Sensitivity to sunlight;Mouth sores
Warts,Hard lumps;Itchy warts;Raised growths;Bumps on skin;Rough texture
Tinea,"Blisters;Red, ring-shaped rash"
Actinic Keratosis,Red or brown spots;Sun damage
Actinic Keratosis,Crusting;Sun damage;Itchy spots;Red or brown spots
Actinic Keratosis,"Dry, scaly patches;Sun damage;Crusting;Red or brown spots;Itchy spots"
Infestations/Bites,Swollen red spots;Wheals
Infestations/Bites,Itchy rash;Visible bites;Wheals;Swollen red spots
Rosacea,Redness;Visible blood vessels;Burning sensation;Eye irritation
Vascular Tumors,Visible blood vessels;Red or purple spots;Swelling;Painful nodules
Rosacea,Redness;Visible blood vessels;Burning sensation;Pimple-like bumps
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Infestations/Bites,Wheals;Visible bites;Itchy rash;Lice
Vasculitis,Red or purple patches;Skin sores;Swollen blood vessels;Fever
Drug Eruption,Itching;Hives;Swelling
Vascular Tumors,Red or purple spots;Visible blood vessels;Painful nodules
Eczema,Swollen skin;Cracked skin;Dry patches;Itchy skin
Infestations/Bites,Swollen red spots;Itchy rash
Psoriasis,Thickened nails;Dry cracked skin;Red skin
Infestations/Bites,Wheals;Itchy rash;Swollen red spots;Lice;Visible bites
Psoriasis,Dry cracked skin;Itchy patches;Scaly skin
Tinea,Burning sensation;Peeling skin
Infestations/Bites,Itchy rash;Swollen red spots;Visible bites
Candidiasis,"Swollen skin;White patches;Itchy rash;Red, sore skin"
Skin Cancer,Changes in existing moles;Irregular borders;New growths;Bleeding lesions
Skin Cancer,New growths;Irregular borders;Asymmetrical growth
Tinea,Blisters;Peeling skin;Itchy rash;Burning sensation
Rosacea,Eye irritation;Pimple-like bumps;Visible blood vessels
Infestations/Bites,Lice;Itchy rash;Wheals;Visible bites
Eczema,Swollen skin;Blisters
Vitiligo,Lightened skin;Loss of pigmentation
Candidiasis,"Swollen skin;White patches;Itchy rash;Red, sore skin"
Vascular Tumors,Swelling;Red or purple spots
Lupus,Sensitivity to sunlight;Scaly skin
Vasculitis,Skin sores;Red or purple patches;Fever;Swollen blood vessels
Actinic Keratosis,"Red or brown spots;Sun damage;Crusting;Itchy spots;Dry, scaly patches"
Drug Eruption,Itching;Rash;Swelling
Infestations/Bites,Itchy rash;Visible bites;Lice;Swollen red spots;Wheals
Actinic Keratosis,"Dry, scaly patches;Sun damage"
Vitiligo,Irregular skin color;White patches;Lightened skin;Loss of pigmentation
Vasculitis,Swollen blood vessels;Rash;Skin sores;Fever;Red or purple patches
Psoriasis,Scaly skin;Dry cracked skin;Thickened nails;Itchy patches;Red skin
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Vitiligo,Lightened skin;White patches;Irregular skin color;Loss of pigmentation
Skin Cancer,Changes in existing moles;Irregular borders
Drug Eruption,Rash;Swelling;Hives;Itching
Drug Eruption,Hives;Itching;Swelling
Rosacea,Eye irritation;Redness;Visible blood vessels
Candidiasis,Swollen skin;White patches;Itchy rash;Flaky skin
Drug Eruption,Swelling;Red spots
Vitiligo,Lightened skin;White patches;Irregular skin color;Loss of pigmentation
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn;Freckles;Rough patches
Benign Tumors,Non-cancerous growths;Soft lumps
Rosacea,Visible blood vessels;Redness;Pimple-like bumps
Vitiligo,Irregular skin color;Loss of pigmentation;Lightened skin
Rosacea,Pimple-like bumps;Redness;Visible blood vessels;Burning sensation;Eye irritation
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Actinic Keratosis,"Red or brown spots;Sun damage;Itchy spots;Dry, scaly patches"
Sun/Sunlight Damage,Sunburn;Dark spots;Wrinkles;Rough patches;Freckles
Sun/Sunlight Damage,Wrinkles;Rough patches;Sunburn
Vitiligo,Irregular skin color;Loss of pigmentation
Lupus,Scaly skin;Sensitivity to sunlight;Butterfly-shaped rash;Mouth sores
Vasculitis,Fever;Rash
Lupus,Sensitivity to sunlight;Scaly skin;Butterfly-shaped rash;Red patches;Mouth sores
Acne,Oily skin;Whiteheads;Cystic acne;Inflamed skin
Moles,Irregular border;Raised moles;Itchy moles;Dark spots
Vitiligo,White patches;Lightened skin;Loss of pigmentation;Irregular skin color
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Vascular Tumors,Swelling;Painful nodules
Lupus,Mouth sores;Sensitivity to sunlight;Red patches;Butterfly-shaped rash
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Lichen Planus,Inflammation;White lines
Infestations/Bites,Visible bites;Swollen red spots
Acne,Inflamed skin;Whiteheads;Pimples;Blackheads
Bullous Disorders,Painful blisters;Itchy blisters
Sun/Sunlight Damage,Dark spots;Sunburn
Acne,Pimples;Inflamed skin
Drug Eruption,Fever;Hives;Itching
Eczema,Itchy skin;Blisters;Swollen skin;Dry patches;Cracked skin
Moles,Raised moles;Multicolored moles
Candidiasis,"Red, sore skin;Itchy rash;White patches"
Vasculitis,Rash;Swollen blood vessels;Red or purple patches
Lupus,Sensitivity to sunlight;Red patches
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Eczema,Redness;Blisters;Swollen skin;Cracked skin
Unknown/Normal Variants,No symptoms;Normal pigmentation
Psoriasis,Itchy patches;Dry cracked skin
Rosacea,Burning sensation;Visible blood vessels;Redness;Pimple-like bumps
Infestations/Bites,Swollen red spots;Visible bites;Wheals;Lice
Eczema,Itchy skin;Cracked skin;Blisters
Lupus,Mouth sores;Butterfly-shaped rash;Red patches;Sensitivity to sunlight;Scaly skin
Skin Cancer,Changes in existing moles;Asymmetrical growth;New growths;Irregular borders
Drug Eruption,Red spots;Itching;Rash;Hives
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Acne,Blackheads;Cystic acne
Sun/Sunlight Damage,Freckles;Sunburn;Wrinkles;Rough patches;Dark spots
Candidiasis,"Red, sore skin;White patches;Flaky skin;Itchy rash"
Rosacea,Pimple-like bumps;Burning sensation;Eye irritation
Tinea,"Red, ring-shaped rash;Burning sensation;Blisters;Itchy rash;Peeling skin"
Acne,Whiteheads;Blackheads;Cystic acne
Vitiligo,Lightened skin;Irregular skin color;White patches;Loss of pigmentation
Candidiasis,"Swollen skin;Itchy rash;Red, sore skin;Flaky skin;White patches"
Warts,Raised growths;Itchy warts
Acne,Pimples;Inflamed skin
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Eczema,Cracked skin;Itchy skin;Redness
Rosacea,Visible blood vessels;Pimple-like bumps;Burning sensation;Redness
Infestations/Bites,Wheals;Itchy rash;Visible bites;Lice
Moles,Raised moles;Multicolored moles;Itchy moles;Irregular border;Dark spots
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Moles,Itchy moles;Irregular border
Skin Cancer,New growths;Changes in existing moles;Asymmetrical growth
Sun/Sunlight Damage,Rough patches;Sunburn;Wrinkles;Freckles
Tinea,Blisters;Itchy rash
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Infestations/Bites,Swollen red spots;Visible bites;Itchy rash
Lupus,Scaly skin;Mouth sores
Sun/Sunlight Damage,Wrinkles;Rough patches;Freckles;Sunburn;Dark spots
Drug Eruption,Rash;Fever
Eczema,Blisters;Itchy skin
Vasculitis,Red or purple patches;Fever
Tinea,Burning sensation;Peeling skin
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Infestations/Bites,Visible bites;Swollen red spots
Warts,Raised growths;Itchy warts
Candidiasis,"Red, sore skin;Itchy rash;Swollen skin"
Tinea,Itchy rash;Burning sensation
Moles,Multicolored moles;Dark spots;Raised moles;Itchy moles
Infestations/Bites,Itchy rash;Wheals
Actinic Keratosis,"Itchy spots;Dry, scaly patches;Sun damage;Crusting;Red or brown spots"
Rosacea,Redness;Burning sensation
Eczema,Dry patches;Redness;Swollen skin;Cracked skin;Itchy skin
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Rosacea,Eye irritation;Visible blood vessels
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Candidiasis,"Red, sore skin;Swollen skin;Itchy rash;Flaky skin"
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Tinea,Itchy rash;Burning sensation
Rosacea,Eye irritation;Redness;Pimple-like bumps;Burning sensation;Visible blood vessels
Lupus,Red patches;Mouth sores;Butterfly-shaped rash;Scaly skin
Warts,Hard lumps;Raised growths
Lichen Planus,Purple flat-topped bumps;White lines;Inflammation;Itchy lesions
Vascular Tumors,Red or purple spots;Swelling;Visible blood vessels
Actinic Keratosis,Itchy spots;Red or brown spots
Candidiasis,"Itchy rash;Flaky skin;Red, sore skin"
Warts,Bumps on skin;Rough texture;Raised growths;Itchy warts;Hard lumps
Lupus,Butterfly-shaped rash;Scaly skin;Mouth sores;Red patches
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Infestations/Bites,Swollen red spots;Wheals;Visible bites;Lice;Itchy rash
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Moles,Irregular border;Dark spots;Raised moles;Itchy moles;Multicolored moles
Sun/Sunlight Damage,Dark spots;Sunburn
Moles,Raised moles;Dark spots;Irregular border;Multicolored moles
Sun/Sunlight Damage,Freckles;Dark spots
Drug Eruption,Hives;Rash;Itching;Red spots;Swelling
Lupus,Butterfly-shaped rash;Mouth sores;Sensitivity to sunlight;Red patches
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Warts,Bumps on skin;Hard lumps
Lupus,Sensitivity to sunlight;Mouth sores;Butterfly-shaped rash;Red patches
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Skin Cancer,Irregular borders;Changes in existing moles
Sun/Sunlight Damage,Dark spots;Freckles;Sunburn;Wrinkles;Rough patches
Lichen Planus,Purple flat-topped bumps;Itchy lesions;Inflammation;White lines
Lichen Planus,Inflammation;Purple flat-topped bumps
Lupus,Sensitivity to sunlight;Butterfly-shaped rash;Mouth sores;Red patches
Vascular Tumors,Painful nodules;Swelling;Visible blood vessels
Tinea,Itchy rash;Peeling skin
Lichen Planus,Inflammation;Itchy lesions;Purple flat-topped bumps
Psoriasis,Scaly skin;Red skin;Thickened nails;Itchy patches;Dry cracked skin
Rosacea,Pimple-like bumps;Redness;Eye irritation;Visible blood vessels
Lichen Planus,Itchy lesions;Inflammation;White lines;Purple flat-topped bumps
Warts,Rough texture;Itchy warts;Hard lumps;Bumps on skin;Raised growths
Psoriasis,Thickened nails;Red skin;Dry cracked skin;Itchy patches
Vitiligo,Lightened skin;White patches;Loss of pigmentation;Irregular skin color
Eczema,Itchy skin;Redness;Cracked skin
Tinea,"Itchy rash;Peeling skin;Burning sensation;Red, ring-shaped rash;Blisters"
Psoriasis,Dry cracked skin;Red skin;Thickened nails;Itchy patches
Infestations/Bites,Wheals;Swollen red spots;Lice;Visible bites;Itchy rash
Acne,Oily skin;Whiteheads
Candidiasis,"Flaky skin;Swollen skin;Red, sore skin;Itchy rash;White patches"
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Sun/Sunlight Damage,Wrinkles;Sunburn;Dark spots;Rough patches
Candidiasis,"Red, sore skin;Flaky skin;Swollen skin;Itchy rash"
Drug Eruption,Itching;Fever;Hives
Tinea,Peeling skin;Blisters
Unknown/Normal Variants,Minor blemishes;No symptoms
Actinic Keratosis,"Itchy spots;Red or brown spots;Crusting;Dry, scaly patches;Sun damage"
Warts,Rough texture;Itchy warts;Hard lumps;Bumps on skin;Raised growths
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Moles,Raised moles;Irregular border;Dark spots
Tinea,"Burning sensation;Itchy rash;Red, ring-shaped rash;Blisters;Peeling skin"
Acne,Oily skin;Pimples;Inflamed skin;Whiteheads;Cystic acne
Lichen Planus,Inflammation;Itchy lesions;White lines
Rosacea,Visible blood vessels;Burning sensation;Pimple-like bumps
Lichen Planus,Inflammation;Itchy lesions;White lines;Purple flat-topped bumps
Infestations/Bites,Visible bites;Wheals;Lice;Swollen red spots
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Warts,Rough texture;Itchy warts;Bumps on skin;Hard lumps;Raised growths
Acne,Cystic acne;Pimples;Oily skin;Inflamed skin;Whiteheads
Actinic Keratosis,"Itchy spots;Red or brown spots;Dry, scaly patches;Sun damage;Crusting"
Vitiligo,Loss of pigmentation;Irregular skin color
Lichen Planus,White lines;Inflammation
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Actinic Keratosis,"Red or brown spots;Sun damage;Itchy spots;Dry, scaly patches"
Rosacea,Burning sensation;Eye irritation
Unknown/Normal Variants,No symptoms;Minor blemishes;Normal pigmentation
Warts,Itchy warts;Bumps on skin;Hard lumps;Raised growths
Skin Cancer,New growths;Irregular borders;Bleeding lesions
Vasculitis,Skin sores;Rash
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Infestations/Bites,Itchy rash;Swollen red spots
Tinea,Peeling skin;Itchy rash;Blisters;Burning sensation
Eczema,Dry patches;Itchy skin
Moles,Raised moles;Itchy moles
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Acne,Blackheads;Cystic acne;Whiteheads
Eczema,Blisters;Redness;Swollen skin;Cracked skin
Psoriasis,Red skin;Thickened nails
Skin Cancer,Irregular borders;Bleeding lesions
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Lupus,Mouth sores;Scaly skin;Sensitivity to sunlight;Red patches;Butterfly-shaped rash
Vitiligo,Irregular skin color;White patches;Loss of pigmentation
Warts,Bumps on skin;Itchy warts;Raised growths;Rough texture;Hard lumps
Lupus,Scaly skin;Sensitivity to sunlight;Butterfly-shaped rash;Red patches;Mouth sores
Infestations/Bites,Lice;Swollen red spots;Itchy rash;Visible bites
Warts,Itchy warts;Bumps on skin;Rough texture
Infestations/Bites,Itchy rash;Swollen red spots;Visible bites;Lice;Wheals
Actinic Keratosis,"Red or brown spots;Crusting;Sun damage;Dry, scaly patches;Itchy spots"
Unknown/Normal Variants,No symptoms;Normal pigmentation
Infestations/Bites,Itchy rash;Visible bites;Swollen red spots;Lice
Warts,Raised growths;Itchy warts
Unknown/Normal Variants,No symptoms;Normal pigmentation
Infestations/Bites,Visible bites;Lice;Wheals;Swollen red spots;Itchy rash
